Source,"Product 
Type",TableName,Source System FIeld Name,IMPACTED FIELD FOR RULE CODE (for DQ team reference),New_Rule_Code_Format,Data Field,Rule Description,Logic,main_table,main_column,sub_table,sub_column,dependency_table,dependency_column,rule_logic_desc
Tomswin,_,"TMS_Customers
TMS_Accounts","TMS_Customers.AM_ADR_LINE1
TMS_Accounts.AM_ADR_LINE1",Address Line 1,Address_Line1_Rule_1_Tomswin,Address_Line1,"Only allow symbols @, (, ), _, ', /, &, ., :, #, ,",,"TMS_Customers,TMS_Accounts","TMS_Customers.AM_ADR_LINE1,TMS_Accounts.AM_ADR_LINE1",,,,,Regex: Allow specific symbols with Entity Type
AMS,_,FLACM,"FLACM.FLMBGC
FLACM.FLMAD1","Entity Type
Address Line 1",Address_Line1_Rule_2_AMS,Address_Line1,"Field content cannot = to “Addr”, “add”, “addr”, “na”, “n/a”, ‘’no Addr’, “no add”, “no addr”,“NIL”, “X”",,FLACM,FLACM.FLMAD1,,,,,Cannot equal to some values with Entity Type
CLS,_,CFADDR,CFADDR.CFNA2,"Entity Type
Address Line 1",Address_Line1_Rule_2_CLS,Address_Line1,"Field content cannot = to “Addr”, “add”, “addr”, “na”, “n/a”, ‘’no Addr’, “no add”, “no addr”,“NIL”, “X”",,CFADDR,CFADDR.CFNA2,,,,,Cannot equal to some values with Entity Type
CPR,_,"FTDWD602
FTDWM601","FTDWD602.CB_BILL_ADDR_CD
FTDWM601.CB_HOME_ADDR1
FTDWM601.CB_CO_ADDR1 
FTDWM601.CB_ALT1_BILL_ADDR1
FTDWM601.CB_ALT2_BILL_ADDR1","Entity Type
Billing Addr Alt 1 Line 1
Billing Addr Alt 2 Line 1
Resident Addr Line 1
Company Addr Line 1",Address_Line1_Rule_2_CPR_1,Address_Line1,"Field content cannot = to “Addr”, “add”, “addr”, “na”, “n/a”, ‘’no Addr’, “no add”, “no addr”,“NIL”, “X”","to check FTDWD602.CB_BILL_ADDR_CD first as below :_
If CB_BILL_ADDR_CD = 'H', then FTDWM601.CB_HOME_ADDR1
if CB_BILL_ADDR_CD  = 'C', then FTDWM601.CB_CO_ADDR1
if CB_BILL_ADDR_CD  = '1', then FTDWM601.CB_ALT1_BILL_ADDR1
if CB_BILL_ADDR_CD  = '2', then FTDWM601.CB_ALT2_BILL_ADDR1",FTDWM601,"FTDWM601.CB_HOME_ADDR1,FTDWM601.CB_CO_ADDR1,FTDWM601.CB_ALT1_BILL_ADDR1,FTDWM601.CB_ALT2_BILL_ADDR1",,,,,Cannot equal to some values with Entity Type
CPR,_,FTDWD613,"FTDWD613.CO_MAIL_ADD_LINE1
FTDWD613.CO_REG_ADD_LINE1
FTDWD613.CO_OPR_ADD_LINE1
FTDWD613.CO_PAR_ADD_LINE1
FTDWD613.CO_MAINBK_ADD_LINE1","Entity Type
Mailing Addr Line 1
Registered Addr Line 1
Operation Addr Line 1
Parent Addr Line 1
Main Banker Addr Line 1",Address_Line1_Rule_2_CPR_2,Address_Line1,"Field content cannot = to “Addr”, “add”, “addr”, “na”, “n/a”, ‘’no Addr’, “no add”, “no addr”,“NIL”, “X”","Mailing address, map to FTDWD613.CO_MAIL_ADD_LINE1.
Registred address, map to FTDWD613.CO_REG_ADD_LINE1.
Operating address, map to FTDWD613.CO_OPR_ADD_LINE1.
Parent address, map to FTDWD613.CO_PAR_ADD_LINE1.
Main banker address, map to CO_MAINBK_ADD_LINE1 .",FTDWD613,"FTDWD613.CO_MAIL_ADD_LINE1,FTDWD613.CO_REG_ADD_LINE1,FTDWD613.CO_OPR_ADD_LINE1,FTDWD613.CO_PAR_ADD_LINE1,FTDWD613.CO_MAINBK_ADD_LINE1",,,,,Cannot equal to some values with Entity Type
EAM,_,CLMST,"CLMST.C1TYPE
CLMST.C1AD1","Entity Type
Address Line 1",Address_Line1_Rule_2_EAM,Address_Line1,"Field content cannot = to “Addr”, “add”, “addr”, “na”, “n/a”, ‘’no Addr’, “no add”, “no addr”,“NIL”, “X”",,CLMST,CLMST.C1AD1,,,,,Cannot equal to some values with Entity Type
MAS,_,CLMST,"CLMST.C1TYPE
CLMST.C1AD1","Entity Type
Address Line 1",Address_Line1_Rule_2_MAS,Address_Line1,"Field content cannot = to “Addr”, “add”, “addr”, “na”, “n/a”, ‘’no Addr’, “no add”, “no addr”,“NIL”, “X”",,CLMST,CLMST.C1AD1,,,,,Cannot equal to some values with Entity Type
MRX,_,TRN_CPDF_DBF,TRN_CPDF_DBF.M_ADDRESS0,"Entity Type
Address Line 1",Address_Line1_Rule_2_MRX,Address_Line1,"Field content cannot = to “Addr”, “add”, “addr”, “na”, “n/a”, ‘’no Addr’, “no add”, “no addr”,“NIL”, “X”",,TRN_CPDF_DBF,TRN_CPDF_DBF.M_ADDRESS0,,,,,Cannot equal to some values with Entity Type
POR,_,tblCustomers,"tblCustomers.fldEntityType
tblCustomers.fldCorrAddress1
tblCustomers.fldPermAddress1","Entity Type
Correspondence Address Line 1
Permenant Address Line 1",Address_Line1_Rule_2_POR,Address_Line1,"Field content cannot = to “Addr”, “add”, “addr”, “na”, “n/a”, ‘’no Addr’, “no add”, “no addr”,“NIL”, “X”",,tblCustomers,"tblCustomers.fldCorrAddress1,tblCustomers.fldPermAddress1",,,,,Cannot equal to some values with Entity Type
TCS,Loan and Deposit,MIS004,"MIS004.MI004_ADD1
MIS004.MI004_TEMP_ADD1","Entity Type
Address Line 1 (Postal)
Address Line 1 (Permenant)",Address_Line1_Rule_2_TCS,Address_Line1,"Field content cannot = to “Addr”, “add”, “addr”, “na”, “n/a”, ‘’no Addr’, “no add”, “no addr”,“NIL”, “X”",,MIS004,"MIS004.MI004_ADD1,MIS004.MI004_TEMP_ADD1",,,,,Cannot equal to some values with Entity Type
Tomswin,_,"TMS_Customers
TMS_Accounts","TMS_Customers.AM_ADR_LINE1
TMS_Accounts.AM_ADR_LINE1",Address Line 1,Address_Line1_Rule_2_Tomswin,Address_Line1,"Field content cannot = to “Addr”, “add”, “addr”, “na”, “n/a”, ‘’no Addr’, “no add”, “no addr”,“NIL”, “X”",,"TMS_Customers,TMS_Accounts
","TMS_Customers.AM_ADR_LINE1,TMS_Accounts.AM_ADR_LINE1",,,,,Cannot equal to some values with Entity Type
AMS,_,FLACM,"FLACM.FLMBGC
FLACM.FLMAD1
FLACM.FLMSTC
FLACM.FLMCTY","Entity Type
Address Line 1
State Code
Country",Address_Line1_Rule_3_AMS,Address_Line1,<> blank if Ctry cd or State cd have a value,,FLACM,"FLACM.FLMAD1,FLACM.FLMCTY,FLACM.FLMSTC",,,,,Cannot be blank if column 1 or column 2 has value with Entity Type
CLS,_,"CFADDR
CFMAST","CFADDR.CFNA2
CFMAST.CFBNMI","Entity Type
Address Line 1
Country/State Code",Address_Line1_Rule_3_CLS,Address_Line1,<> blank if Ctry cd or State cd have a value,,CFADDR,CFADDR.CFNA2,CFMAST,CFMAST.CFBNMI,,,Cannot be blank if column 1 or column 2 has value with Entity Type
CPR,_,"FTDWD602
FTDWM601","FTDWD602.CB_BILL_ADDR_CD
FTDWM601.CB_HOME_ADDR1
FTDWM601.CB_CO_ADDR1
FTDWM601.CB_ALT1_BILL_ADDR1
FTDWM601.CB_ALT2_BILL_ADDR1
FTDWM601.CB_HOME_STATE
FTDWM601.CB_CO_STATE
FTDWM601.CB_ALT1_BILL_STATE
FTDWM601.CB_ALT2_BILL_STATE  
FTDWM601.CB_HOME_CNTRY_CD
FTDWM601.CB_CO_CNTRY_CD
FTDWM601.CB_ALT1_BILL_CNTRY_CD
FTDWM601.CB_ALT2_BILL_CNTRY_CD ","Entity Type
Billing Addr Alt 1 Line 1
Billing Addr Alt 2 Line 1
Resident Addr Line 1
Company Addr Line 1
Billing Addr Alt 1 State Code
Billing Addr Alt 2  State Code
Resident Addr State Code
Company Addr State Code
Billing Addr Alt 1 Country Cd
Billing Addr Alt 2 Country Cd
Resident Addr Country Cd
Company Addr Country Cd",Address_Line1_Rule_3_CPR_1,Address_Line1,<> blank if Ctry cd or State cd have a value,"to check FTDWD602.CB_BILL_ADDR_CD first as below :_
If CB_BILL_ADDR_CD = 'H', then FTDWM601.CB_HOME_ADDR1, FTDWM601.CB_HOME_CNTRY_CD, FTDWM601.CB_HOME_STATE
if CB_BILL_ADDR_CD  = 'C', then FTDWM601.CB_CO_ADDR1, FTDWM601.CB_CO_CNTRY_CD, FTDWM601.CB_CO_STATE
if CB_BILL_ADDR_CD  = '1', then FTDWM601.CB_ALT1_BILL_ADDR1, FTDWM601.CB_ALT1_BILL_CNTRY_CD, FTDWM601.CB_ALT1_BILL_STATE
if CB_BILL_ADDR_CD  = '2', then FTDWM601.CB_ALT2_BILL_ADDR1, FTDWM601.CB_ALT2_BILL_CNTRY_CD, FTDWM601.CB_ALT2_BILL_STATE","FTDWD602
FTDWM601","FTDWD602.CB_BILL_ADDR_CD,FTDWM601.CB_HOME_ADDR1,FTDWM601.CB_CO_ADDR1,FTDWM601.CB_ALT1_BILL_ADDR1,FTDWM601.CB_ALT2_BILL_ADDR1
",FTDWM601,"FTDWM601.CB_HOME_STATE,FTDWM601.CB_CO_STATE,FTDWM601.CB_ALT1_BILL_STATE,FTDWM601.CB_ALT2_BILL_STATE ,FTDWM601.CB_HOME_CNTRY_CD,FTDWM601.CB_CO_CNTRY_CD,FTDWM601.CB_ALT1_BILL_CNTRY_CD,FTDWM601.CB_ALT2_BILL_CNTRY_CD ",,,Cannot be blank if column 1 or column 2 has value with Entity Type
CPR,_,FTDWD613,"FTDWD613.CO_MAIL_ADD_LINE1, FTDWD613.CO_MAIL_CNTRY_CD, FTDWD613.CO_MAIL_STATE,
FTDWD613.CO_REG_ADD_LINE1, FTDWD613.CO_REG_CNTRY_CD,  FTDWD613.CO_REG_STATE,
FTDWD613.CO_OPR_ADD_LINE1, FTDWD613.CO_OPR_CNTRY_CD, FTDWD613.CO_OPR_STATE,
FTDWD613.CO_PAR_ADD_LINE1, FTDWD613.CO_PAR_CNTRY_CD, FTDWD613.CO_PAR_STATE
FTDWD613.CO_MAINBK_ADD_LINE1, FTDWD613.CO_MAINBK_CNTRY_CD, FTDWD613.CO_MAINBK_STATE","Entity Type
Mailing Addr Line 1
Registered Addr Line 1
Operation Addr Line 1
Parent Addr Line 1
Main Banker Addr Line 1
Mailing Addr State  Cd
Registered Addr State Cd
Operation Addr State Cd
Parent Addr State Cd
Main Banker Addr State Cd
Mailing Addr Country Cd
Registered Addr Country Cd
Operation Addr Country Cd
Parent Addr Country Cd
Main Banker Addr Country Cd",Address_Line1_Rule_3_CPR_2,Address_Line1,<> blank if Ctry cd or State cd have a value,"Mailing address, map to FTDWD613.CO_MAIL_ADD_LINE1, FTDWD613.CO_MAIL_CNTRY_CD, CO_MAIL_STATE
Registred address, map to FTDWD613.CO_REG_ADD_LINE1, FTDWD613.CO_REG_CNTRY_CD,  CO_REG_STATE
Operating address, map to FTDWD613.CO_OPR_ADD_LINE1, FTDWD613.CO_OPR_CNTRY_CD, CO_OPR_STATE
Parent address, map to FTDWD613.CO_PAR_ADD_LINE1, FTDWD613.CO_PAR_CNTRY_CD, CO_PAR_STATE
Main banker address, map to FTDWD613.CO_MAINBK_ADD_LINE1, FTDWD613.CO_MAINBK_CNTRY_CD, FTDWD613.CO_MAINBK_STATE",FTDWD613,"FTDWD613.CO_MAIL_ADD_LINE1,FTDWD613.CO_REG_ADD_LINE1,FTDWD613.CO_OPR_ADD_LINE1,FTDWD613.CO_PAR_ADD_LINE1,FTDWD613.CO_MAINBK_ADD_LINE1",FTDWD613,"FTDWD613.CO_MAIL_CNTRY_CD,FTDWD613.CO_MAIL_STATE,FTDWD613.CO_REG_CNTRY_CD,FTDWD613.CO_REG_STATE,FTDWD613.CO_OPR_CNTRY_CD,FTDWD613.CO_OPR_STATE,FTDWD613.CO_PAR_CNTRY_CD,FTDWD613.CO_PAR_STATE,FTDWD613.CO_MAINBK_CNTRY_CD,FTDWD613.CO_MAINBK_STATE",,,Cannot be blank if column 1 or column 2 has value with Entity Type
EAM,_,CLMST,"CLMST.C1TYPE
CLMST.C1AD1
CLMST.C1NLTY
CLMST.C1RSCD
CLMST.C1FIL1 ","Entity Type
Address Line 1
Country
State Code",Address_Line1_Rule_3_EAM,Address_Line1,<> blank if Ctry cd or State cd have a value,,CLMST,CLMST.C1AD1,CLMST,"CLMST.C1NLTY,CLMST.C1RSCD,CLMST.C1FIL1 ",,,Cannot be blank if column 1 or column 2 has value with Entity Type
MAS,_,CLMST,"CLMST.C1TYPE
CLMST.C1AD1
CLFIL1
CLRSCD","Entity Type
Address Line 1
Country/State Code",Address_Line1_Rule_3_MAS,Address_Line1,<> blank if Ctry cd or State cd have a value,,CLMST,CLMST.C1AD1,CLMST,"CLMST.CLFIL1,CLMST.CLRSCD",,,Cannot be blank if column 1 or column 2 has value with Entity Type
MRX,_,TRN_CPDF_DBF,"TRN_CPDF_DBF.M_ADDRESS0
TRN_CPDF_DBF.M_COUNTRY
TRN_CPDF_DBF.M_STCODE","Entity Type
Address Line 1
Country
State Code",Address_Line1_Rule_3_MRX,Address_Line1,<> blank if Ctry cd or State cd have a value,,TRN_CPDF_DBF,TRN_CPDF_DBF.M_ADDRESS0,TRN_CPDF_DBF,"TRN_CPDF_DBF.M_COUNTRY,TRN_CPDF_DBF.M_STCODE",,,Cannot be blank if column 1 or column 2 has value with Entity Type
POR,_,tblCustomers,"tblCustomers.fldEntityType
tblCustomers.fldCorrAddress1
tblCustomers.fldPermAddress1
tblCustomers.fldCorrCountry
tblCustomers.fldPermCountry
tblCustomers.fldCorrState
tblCustomers.fldPermState","Entity Type
Correspondence Address Line 1
Permenant Address Line 1
Correspondence Country
Permenant County
Correspondence State code
Permenant State code",Address_Line1_Rule_3_POR,Address_Line1,<> blank if Ctry cd or State cd have a value,,tblCustomers,"tblCustomers.fldCorrAddress1,tblCustomers.fldPermAddress1",tblCustomers,"tblCustomers.fldCorrCountry,tblCustomers.fldPermCountry,tblCustomers.fldCorrState,tblCustomers.fldPermState",,,Cannot be blank if column 1 or column 2 has value with Entity Type
TCS,Loan and Deposit,MIS004,"MIS004.MI004_ADD1
MIS004.MI004_TEMP_ADD1
MIS004.MI004_CUSVAA_STATE_CODE
MIS004.MI004_TEMP_STATE_CODE
MIS004.MI004_CORR_ADD_COUNTRY_CD
MIS004.MI004_PERM_ADD_COUNTRY_CD","Entity Type
Address Line 1 (Postal)
Address Line 1 (Permenant)
State Code (Permenant)
State Code (Postal)
Country (Postal)
Country (Permenant)",Address_Line1_Rule_3_TCS,Address_Line1,<> blank if Ctry cd or State cd have a value,,MIS004,"MIS004.MI004_ADD1,MIS004.MI004_TEMP_ADD1",MIS004,"MIS004.MI004_CUSVAA_STATE_CODE,MIS004.MI004_TEMP_STATE_CODE,MIS004.MI004_CORR_ADD_COUNTRY_CD,MIS004.MI004_PERM_ADD_COUNTRY_CD",,,Cannot be blank if column 1 or column 2 has value with Entity Type
Tomswin,_,"TMS_Customers
TMS_Accounts","TMS_Customers.AM_ADR_LINE1
TMS_Accounts.AM_ADR_LINE1
TMS_Customers.NATIONALITY_CODE",Address Line 1,Address_Line1_Rule_3_Tomswin,Address_Line1,<> blank if Ctry cd or State cd have a value,,"TMS_Customers
TMS_Accounts","TMS_Customers.AM_ADR_LINE1,TMS_Accounts.AM_ADR_LINE1",TMS_Customers,TMS_Customers.NATIONALITY_CODE,,,Cannot be blank if column 1 or column 2 has value with Entity Type
AMS,_,FLACM,"FLACM.FLMBGC
FLACM.FLMAD1
FLACM.FLMAD2
FLACM.FLMAD3","Entity Type
Address Line 1
Address Line 2
Address Line 3",Address_Line1_Rule_4_AMS,Address_Line1,Addr line 1+ line 2+ line 3 > 8 char (either 1 Addr),,FLACM,"FLACM.FLMAD1,FLACM.FLMAD2,FLACM.FLMAD3",,,,,Regex: Concat some columns must larger than n characters with Entity Type
CLS,_,CFADDR,"CFADDR.CFNA2
CFADDR.CFNA3
CFADDR.CFNA4","Entity Type
Address Line 1
Address Line 2 
Address Line 3",Address_Line1_Rule_4_CLS,Address_Line1,Addr line 1+ line 2+ line 3 > 8 char (either 1 Addr),,CFADDR,"CFADDR.CFNA2CFADDR.CFNA3,CFADDR.CFNA4",,,,,Regex: Concat some columns must larger than n characters with Entity Type
CPR,_,"FTDWD602
FTDWM601","FTDWD602.CB_BILL_ADDR_CD
FTDWM601.CB_ALT1_BILL_ADDR1
FTDWM601.CB_ALT2_BILL_ADDR1
FTDWM601.CB_HOME_ADDR1
FTDWM601.CB_CO_ADDR1
FTDWM601.CB_ALT1_BILL_ADDR2
FTDWM601.CB_ALT2_BILL_ADDR2
FTDWM601.CB_HOME_ADDR2
FTDWM601.CB_CO_ADDR12
FTDWM601.CB_ALT1_BILL_ADDR3
FTDWM601.CB_ALT2_BILL_ADDR3
FTDWM601.CB_HOME_ADDR3
FTDWM601.CB_CO_ADDR3
","Entity Type
Billing Addr Alt 1 Line 1
Billing Addr Alt 2 Line 1
Resident Addr Line 1
Company Addr Line 1
Billing Addr Alt 1 Line 2
Billing Addr Alt 2 Line 2
Resident Addr Line 2
Company Addr Line 2
Billing Addr Alt 1 Line 3
Billing Addr Alt 2 Line 3
Resident Addr Line 3
Company Addr Line 3",Address_Line1_Rule_4_CPR_1,Address_Line1,Addr line 1+ line 2+ line 3 > 8 char (either 1 Addr),"to check FTDWD602.CB_BILL_ADDR_CD first as below :_
If CB_BILL_ADDR_CD = 'H', then FTDWM601.CB_HOME_ADDR1, FTDWM601.CB_HOME_ADDR2, FTDWM601.CB_HOME_ADDR3
if CB_BILL_ADDR_CD  = 'C', then FTDWM601.CB_CO_ADDR1, FTDWM601.CB_CO_ADDR2, FTDWM601.CB_CO_ADDR3
if CB_BILL_ADDR_CD  = '1', then FTDWM601.CB_ALT1_BILL_ADDR1, FTDWM601.CB_ALT1_BILL_ADDR2, FTDWM601.CB_ALT1_BILL_ADDR3
if CB_BILL_ADDR_CD  = '2', then FTDWM601.CB_ALT2_BILL_ADDR1, FTDWM601.CB_ALT2_BILL_ADDR2, FTDWM601.CB_ALT2_BILL_ADDR3",FTDWM601,"FTDWD602.CB_BILL_ADDR_CD,FTDWM601.CB_HOME_ADDR1,FTDWM601.CB_HOME_ADDR2,FTDWM601.CB_HOME_ADDR3,FTDWM601.CB_CO_ADDR1,FTDWM601.CB_CO_ADDR2,FTDWM601.CB_CO_ADDR3,FTDWM601.CB_ALT1_BILL_ADDR1,FTDWM601.CB_ALT1_BILL_ADDR2,FTDWM601.CB_ALT1_BILL_ADDR3,FTDWM601.CB_ALT2_BILL_ADDR1,FTDWM601.CB_ALT2_BILL_ADDR2,FTDWM601.CB_ALT2_BILL_ADDR3",,,,,Regex: Concat some columns must larger than n characters with Entity Type
CPR,_,FTDWD613,"FTDWD613.CO_MAIL_ADD_LINE1
FTDWD613.CO_REG_ADD_LINE1
FTDWD613.CO_OPR_ADD_LINE1
FTDWD613.CO_PAR_ADD_LINE1
FTDWD613.CO_MAINBK_ADD_LINE1
FTDWD613.CO_MAIL_ADD_LINE2
FTDWD613.CO_REG_ADD_LINE2
FTDWD613.CO_OPR_ADD_LINE2
FTDWD613.CO_PAR_ADD_LINE2
FTDWD613.CO_MAINBK_ADD_LINE2
FTDWD613.CO_MAIL_ADD_LINE3
FTDWD613.CO_REG_ADD_LINE3
FTDWD613.CO_OPR_ADD_LINE3
FTDWD613.CO_PAR_ADD_LINE3
FTDWD613.CO_MAINBK_ADD_LINE3","Entity Type
Mailing Addr Line 1
Registered Addr Line 1
Operation Addr Line 1
Parent Addr Line 1
Main Banker Addr Line 1
Mailing Addr Line 2
Registered Addr Line 2
Operation Addr Line 2
Parent Addr Line 2
Main Banker Addr Line 2
Mailing Addr Line 3
Registered Addr Line 3
Operation Addr Line 3
Parent Addr Line 3
Main Banker Addr Line 3",Address_Line1_Rule_4_CPR_2,Address_Line1,Addr line 1+ line 2+ line 3 > 8 char (either 1 Addr),"Mailing address, map to FTDWD613.CO_MAIL_ADD_LINE1, FTDWD613.CO_MAIL_ADD_LINE2, FTDWD613.CO_MAIL_ADD_LINE3
Registred address, map to FTDWD613.CO_REG_ADD_LINE1, FTDWD613.CO_REG_ADD_LINE2, FTDWD613.CO_REG_ADD_LINE3
Operating address, map to FTDWD613.CO_OPR_ADD_LINE1, FTDWD613.CO_OPR_ADD_LINE2, FTDWD613.CO_OPR_ADD_LINE3
Parent address, map to FTDWD613.CO_PAR_ADD_LINE1, FTDWD613.CO_PAR_ADD_LINE2, FTDWD613.CO_PAR_ADD_LINE3
Main banker address, map to CO_MAINBK_ADD_LINE1, CO_MAINBK_ADD_LINE2, CO_MAINBK_ADD_LINE3",FTDWD613,"FTDWD613.CO_MAIL_ADD_LINE1,FTDWD613.CO_MAIL_ADD_LINE2,FTDWD613.CO_MAIL_ADD_LINE3,FTDWD613.CO_REG_ADD_LINE1,FTDWD613.CO_REG_ADD_LINE2,FTDWD613.CO_REG_ADD_LINE3,FTDWD613.CO_PAR_ADD_LINE1,FTDWD613.CO_PAR_ADD_LINE2,FTDWD613.CO_PAR_ADD_LINE3,FTDWD613.CO_OPR_ADD_LINE1,FTDWD613.CO_OPR_ADD_LINE2,FTDWD613.CO_OPR_ADD_LINE3,FTDWD613.CO_MAINBK_ADD_LINE1,FTDWD613.CO_MAINBK_ADD_LINE2,FTDWD613.CO_MAINBK_ADD_LINE3",,,,,Regex: Concat some columns must larger than n characters with Entity Type
EAM,_,CLMST,"CLMST.C1TYPE
CLMST.C1AD1
CLMST.C1AD2
CLMST.C1AD3","Entity Type
Address Line 1
Address Line 2
Address Line 3",Address_Line1_Rule_4_EAM,Address_Line1,Addr line 1+ line 2+ line 3 > 8 char (either 1 Addr),,CLMST,"CLMST.C1AD1,CLMST.C1AD2,CLMST.C1AD3",,,,,Regex: Concat some columns must larger than n characters with Entity Type
MAS,_,CLMST,"CLMST.C1TYPE
CLMST.C1AD1
CLMST.C1AD2
CLMST.C1AD3","Entity Type
Address Line 1, Address Line 2, Address Line 3",Address_Line1_Rule_4_MAS,Address_Line1,Addr line 1+ line 2+ line 3 > 8 char (either 1 Addr),,CLMST,"CLMST.C1AD1,CLMST.C1AD2,CLMST.C1AD3",,,,,Regex: Concat some columns must larger than n characters with Entity Type
MRX,_,TRN_CPDF_DBF,"TRN_CPDF_DBF.M_ADDRESS0
TRN_CPDF_DBF.M_ADDRESS1
TRN_CPDF_DBF.M_ADDRESS2","Address Line 1
Address Line 2
Address Line 3",Address_Line1_Rule_4_MRX,Address_Line1,Addr line 1+ line 2+ line 3 > 8 char (either 1 Addr),,TRN_CPDF_DBF,"TRN_CPDF_DBF.M_ADDRESS0,TRN_CPDF_DBF.M_ADDRESS1,TRN_CPDF_DBF.M_ADDRESS2",,,,,Regex: Concat some columns must larger than n characters with Entity Type
POR,_,tblCustomers,"tblCustomers.fldEntityType
tblCustomers.fldCorrAddress1
tblCustomers.fldPermAddress1
tblCustomers.fldCorrAddress2
tblCustomers.fldPermAddress2
tblCustomers.fldCorrAddress3
tblCustomers.fldPermAddress3","Entity Type
Correspondence Address Line 1
Permenant Address Line 1
Correspondence Address Line 2
Permenant Address Line2
Correspondence Address Line 3
Permenant Address Line 3",Address_Line1_Rule_4_POR,Address_Line1,Addr line 1+ line 2+ line 3 > 8 char (either 1 Addr),,tblCustomers,"tblCustomers.fldCorrAddress1,tblCustomers.fldPermAddress1,tblCustomers.fldCorrAddress2,tblCustomers.fldPermAddress2,tblCustomers.fldCorrAddress3,tblCustomers.fldPermAddress3",,,,,Regex: Concat some columns must larger than n characters with Entity Type
TCS,Loan and Deposit,MIS004,"MIS004.MI004_ADD1
MIS004.MI004_ADD2
MIS004.MI004_ADD3
MIS004.MI004_TEMP_ADD1
MIS004.MI004_TEMP_ADD2
MIS004.MI004_TEMP_ADD3","Entity Type
Address Line 1 (Postal)
Address Line 2 (Postal)
Address Line 3 (Postal)
Address Line 1 (Permenant)
Address Line 2 (Permenant)
Address Line 3 (Permenant)",Address_Line1_Rule_4_TCS,Address_Line1,Addr line 1+ line 2+ line 3 > 8 char (either 1 Addr),,MIS004,"MIS004.MI004_ADD1,MIS004.MI004_ADD2,MIS004.MI004_ADD3,MIS004.MI004_TEMP_ADD1,MIS004.MI004_TEMP_ADD2,MIS004.MI004_TEMP_ADD3",,,,,Regex: Concat some columns must larger than n characters with Entity Type
Tomswin,_,"TMS_Customers
TMS_Accounts","TMS_Customers.AM_ADR_LINE1
TMS_Accounts.AM_ADR_LINE1
TMS_Customers.AM_ADR_LINE2
TMS_Accounts.AM_ADR_LINE2
TMS_Customers.AM_ADR_LINE3
TMS_Accounts.AM_ADR_LINE3","Address Line 1
Address Line 2
Address Line 3",Address_Line1_Rule_4_Tomswin,Address_Line1,Addr line 1+ line 2+ line 3 > 8 char (either 1 Addr),,TMS_Customers,"TMS_Customers.AM_ADR_LINE1,TMS_Customers.AM_ADR_LINE2,TMS_Customers.AM_ADR_LINE3,TMS_Accounts.AM_ADR_LINE1,TMS_Accounts.AM_ADR_LINE2,TMS_Accounts.AM_ADR_LINE3",TMS_Accounts,,,,Regex: Concat some columns must larger than n characters with Entity Type
AMS,_,FLACM,"FLACM.FLMBGC
FLACM.FLMAD2","Entity Type
Address Line 2",Address_Line2_Rule_1_AMS,Address_Line2,"Only allow symbols @, (, ), _, ' , /, &, ., :, #, ,",,FLACM,FLACM.FLMAD2,,,,,Regex: Allow specific symbols with Entity Type
CPR,_,"FTDWD602
FTDWM601","FTDWD602.CB_BILL_ADDR_CD
FTDWM601.CB_HOME_ADDR2
FTDWM601.CB_CO_ADDR2
FTDWM601.CB_ALT1_BILL_ADDR2
FTDWM601.CB_ALT2_BILL_ADDR2","Entity Type
Billing Addr Alt 1 Line 2
Billing Addr Alt 2 Line 2
Resident Addr Line 2
Company Addr Line 2",Address_Line2_Rule_1_CPR_1,Address_Line2,"Only allow symbols @, (, ), _, ' , /, &, ., :, #, ,","to check FTDWD602.CB_BILL_ADDR_CD first as below :_
If CB_BILL_ADDR_CD = 'H', then FTDWM601.CB_HOME_ADDR2
if CB_BILL_ADDR_CD  = 'C', then FTDWM601.CB_CO_ADDR2
if CB_BILL_ADDR_CD  = '1', then FTDWM601.CB_ALT1_BILL_ADDR2
if CB_BILL_ADDR_CD  = '2', then FTDWM601.CB_ALT2_BILL_ADDR2",FTDWM601,"FTDWM601.CB_HOME_ADDR2,FTDWM601.CB_CO_ADDR2,FTDWM601.CB_ALT1_BILL_ADDR2,FTDWM601.CB_ALT2_BILL_ADDR2",,,,,Regex: Allow specific symbols with Entity Type
CPR,_,FTDWD613,"FTDWD613.CO_MAIL_ADD_LINE2
FTDWD613.CO_REG_ADD_LINE2
FTDWD613.CO_OPR_ADD_LINE2
FTDWD613.CO_PAR_ADD_LINE2
FTDWD613.CO_MAINBK_ADD_LINE2","Entity Type
Mailing Addr Line 2
Registered Addr Line 2
Operation Addr Line 2
Parent Addr Line 2
Main Banker Addr Line 2",Address_Line2_Rule_1_CPR_2,Address_Line2,"Only allow symbols @, (, ), _, ' , /, &, ., :, #, ,","Mailing address, map toFTDWD613.CO_MAIL_ADD_LINE2.
Registred address, map to FTDWD613.CO_REG_ADD_LINE2.
Operating address, map to FTDWD613.CO_OPR_ADD_LINE2.
Parent address, map to FTDWD613.CO_PAR_ADD_LINE2.
Main banker address, map to CO_MAINBK_ADD_LINE2.",FTDWD613,"FTDWD613.CO_MAIL_ADD_LINE2,FTDWD613.CO_REG_ADD_LINE2,FTDWD613.CO_OPR_ADD_LINE2,FTDWD613.CO_PAR_ADD_LINE2,FTDWD613.CO_MAINBK_ADD_LINE2",,,,,Regex: Allow specific symbols with Entity Type
